station_name,,longitude,latitude
Abbey Wood,,51.532629,0.003864
Acton Main Line ,,51.517428,-0.265873
Bond Street,,51.5141,-0.1447
Brentwood ,,51.6138,0.2995
Canary Wharf,,51.505819,-0.017882
Chadwell Heath,,51.5679,0.1293
Custom House,,51.509662,0.026971
Ealing Broadway ,,51.5147,-0.3018
Farringdon,,51.5208,-0.1054
Forest Gate,,51.5494,0.0242
Gidea Park,,51.5819,0.206
Goodmayes,,51.5657,0.1116
Hanwell ,,51.5118,0.3386
Harold Wood,,51.5928,0.2331
Hayes and Harlington ,,51.5031,0.4208
Heathrow Terminal 4 ,,51.4583,0.4457
Heathrow Terminals 2 & 3 ,,51.4725,0.4545
Ilford ,,51.5592,0.07
Liverpool Street,,51.5188,0.0814
Manor Park,,51.5526,0.0465
Maryland,,51.5461,0.006
Paddington ,,51.5167,0.1769
Romford,,51.5747,0.1827
Seven Kings,,51.564,0.0968
Shenfield,,51.6308,0.3295
Southall ,,51.506,0.3786
Stratford,,51.5415,0.0028
Tottenham Court Road,,51.5163,0.13
West Ealing ,,51.5137,0.321
Whitechapel,,51.519,-0.0602
Woolwich,,51.491991,0.070762